"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2008-9-1","2,243.66","2,372.64","2,372.64","1,804.77","717.35K","-6.19%"
"2008-8-1","2,391.64","2,786.12","2,868.68","2,273.89","560.88K","-14.74%"
"2008-7-1","2,805.21","2,799.20","3,056.91","2,617.26","961.73K","0.48%"
"2008-6-1","2,791.82","3,600.23","3,650.48","2,691.87","649.94K","-22.69%"
"2008-5-1","3,611.33","4,015.21","4,075.57","3,533.47","839.17K","-8.78%"
"2008-4-1","3,959.12","3,776.27","3,970.57","3,122.39","900.62K","4.45%"
"2008-3-1","3,790.53","4,648.73","4,836.66","3,658.04","729.08K","-18.91%"
"2008-2-1","4,674.55","4,623.62","5,062.26","4,394.59","497.37K","1.17%"
"2008-1-1","4,620.40","5,349.76","5,756.92","4,606.14","1.11M","-13.45%"
"2007-12-1","5,338.27","4,714.92","5,391.66","4,689.52","707.41K","12.68%"
"2007-11-1","4,737.41","5,701.49","5,702.21","4,619.51","682.75K","-16.72%"
"2007-10-1","5,688.54","5,703.28","5,891.72","5,266.37","932.43K","1.93%"
"2007-9-1","5,580.81","5,335.05","5,590.85","5,059.46","1.23M","5.36%"
"2007-8-1","5,296.81","4,479.30","5,307.42","4,271.06","1.68M","18.75%"
"2007-7-1","4,460.56","3,746.18","4,467.65","3,475.27","1.12M","18.50%"
"2007-6-1","3,764.08","3,953.10","4,292.20","3,246.73","1.79M","-4.17%"
"2007-5-1","3,927.95","3,643.81","4,168.53","3,556.61","1.90M","10.38%"
"2007-4-1","3,558.71","2,793.96","3,568.68","2,793.96","1.95M","27.93%"
"2007-3-1","2,781.78","2,550.26","2,830.08","2,409.72","1.58M","9.32%"
"2007-2-1","2,544.57","2,350.60","2,719.52","2,198.90","1.01M","6.68%"
"2007-1-1","2,385.34","2,073.25","2,599.45","2,030.76","1.69M","16.87%"
"2006-12-1","2,041.05","1,719.28","2,052.86","1,705.91","1.28M","19.06%"
"2006-11-1","1,714.36","1,465.67","1,714.49","1,453.26","1.00M","17.06%"
"2006-10-1","1,464.47","1,420.36","1,464.48","1,403.01","538.31K","4.36%"
"2006-9-1","1,403.27","1,339.31","1,405.56","1,314.57","521.24K","4.82%"
"2006-8-1","1,338.69","1,292.71","1,349.20","1,221.99","407.74K","3.43%"
"2006-7-1","1,294.33","1,398.74","1,430.94","1,293.53","594.78K","-7.15%"
"2006-6-1","1,393.96","1,364.18","1,413.11","1,269.52","793.22K","2.09%"
"2006-5-1","1,365.45","1,179.58","1,387.57","1,179.58","988.14K","16.47%"
